product_name,average_sentiment_score
"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive DANCING lady??????(Black, Green, RED/PINK)",1.0
Faber FFSD 8PR 14S Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,1.0
Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)??????????(Light Blue),0.9164810690423163
Prestige CleanHome Fruit and Vegetable Cleaner (P0Z 1.0 ) 230 Volts Food Processor??????????(White and Blue),0.9158878504672897
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",0.8951048951048951
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",0.75
Voltas Beko DT8B Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,0.9072164948453608
LG DFB424FP Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,0.9428571428571428
"IFB Neptune VX Plus Free Standing 15 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher",0.875968992248062
"Choose The Correct ?? LED Music Bulb with Bluetooth Speaker Music Color changing led Bulb, DJ Lights with Remote Control Music Dimmable for Home, Bedroom, Living Room, Decoration smart bulb with Google, Alexa & Siri Assistant Smart Speaker??????(Multicolor)",0.6956521739130435
"BAJAJ Crest Neo 1200 mm 3 Blade Ceiling Fan??????????(Brown, Pack of 1)",0.7341772151898734
BAJAJ 410053 600 W Food Processor??????????(Multicolor),0.8333333333333334
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",0.8775153105861767
Inalsa fiesta 650 W Food Processor??????????(White),0.7857142857142857
the indian casa Cricket Net 10x20 Feet Nylon Cricket Boundary And Practice Net (Green) Cricket Net??????(Green),0.75
"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf??????(Number of Shelves - 1, Black)",1.0
LURAGS Diamond natural brown set of 6 stumps with bails??????(Brown),0.8875
"Google Nest Hub (2nd gen), Display with Google Assistant Smart Speaker??????(Charcoal)",0.9
Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,1.0
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",0.7806691449814126
WD 1.5 TB Wired External Hard Disk Drive (HDD)??????????(Black),0.8719135802469136
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",0.7741935483870968
